date;reg_code;reg_name;total_vaccines;reg_pop_tot;percent_pop_vac
2021-01-21;03;Guyane;477;278472;0.1712919072653624
2021-01-25;53;Bretagne;55025;3425074;1.6065346325364067
2021-01-11;11;Île-de-France;30248;12328447;0.2453512595706499
2021-01-13;44;Grand Est;20692;5658527;0.36567820565316733
2021-01-15;76;Occitanie;39278;6009622;0.6535852005334113
2021-01-18;94;Corse;2346;343726;0.6825203796046851
2021-01-21;28;Normandie;57288;3400150;1.6848668441098187
2021-01-21;84;Auvergne-Rhône-Alpes;90883;8167945;1.1126788929161497
2021-01-21;93;Provence-Alpes-Côte d'Azur;64784;5128856;1.2631276838343677
2021-01-22;03;Guyane;581;278472;0.20863857048464476
2021-01-23;32;Hauts-de-France;81878;6096682;1.3429927950973988
2021-01-23;52;Pays de la Loire;52380;3871617;1.3529230809762431
2021-01-24;76;Occitanie;101316;6009622;1.6858963841652603
2021-01-26;75;Nouvelle-Aquitaine;129133;6117956;2.1107212931900787
2021-01-15;28;Normandie;29060;3400150;0.8546681764039822
2021-01-20;44;Grand Est;60675;5658527;1.0722755232943133
2021-01-21;11;Île-de-France;131964;12328447;1.0704024602612154
2021-01-21;75;Nouvelle-Aquitaine;89139;6117956;1.4570062288777492
2021-01-13;01;Guadeloupe;197;393401;0.05007613097068894
2021-01-14;76;Occitanie;31897;6009622;0.5307654957333423
2021-01-15;84;Auvergne-Rhône-Alpes;41494;8167945;0.5080102767587197
2021-01-15;93;Provence-Alpes-Côte d'Azur;25510;5128856;0.4973818722927686
2021-01-17;93;Provence-Alpes-Côte d'Azur;29322;5128856;0.5717064390187597
2021-01-19;02;Martinique;1726;373762;0.4617911933262343
2021-01-19;84;Auvergne-Rhône-Alpes;63597;8167945;0.7786168981304356
2021-01-20;28;Normandie;50603;3400150;1.4882578709762804
